golden:
for (int index = 0; index < len; index++) {
inference:
for (int index = 0; index  len; index++){
for (int index = 0; index = len; index++){
for (int i = 0; i  len; i++){
for (int index = 0; index  len; ++index){
for (i = 0; i  len; i++){
for (int index = 0, index  len; index++){
for (int index = 0; index  s.length; index++){
for (int index = 0; index  s.length(); index++){
for (long index = 0; index  len; index++){
for (index = 0; index  len; index++){
for (int index = 0; index  len - 1; index++){
for (int index = 0; index  (int)len; index++){
for (int index = 1; index  len; index++){
for ( int index = 0; index  len; index++ ){
for (int index = 0; index = 0; index++){
for (PRInt32 index = 0; index  len; index++){
for (int index = 0; index  0; index++){
for (int index = 0; i  len; i++){
for (int index = 0; index  length; index++){
for (int index = -1; index  len; index++){
for (int index = 0; index  len; i++){
for (size_t index = 0; index  len; index++){
for (int index = 0; index  (int) len; index++){
for (int index = 0; index  len; index++, i++){
for (int index = 0; index  len; index++, ++index){
for (int index = 0; index  len; index--){
for (index = 0; index = len; index++){
for(int index = 0; index  len; index++){
for (int index = (int)0; index  len; index++){
for (int index = 0; index = s.length(); index++){
for (int index; index  len; index++){
for (int index = 0; index  len;){
for (;;){
for (int index = 0; index  n; index++){
for (int index = 0, index = len; index++){
for (PRInt32 i = 0; i  len; i++){
for (int index = 0; index  s; index++){
for (int index = 0; index  len; index++, len++){
for (int index = 0; index  len && index++){
for (int index = 0; index  len + 1; index++){
for (PRUint32 index = 0; index  len; index++){
for (int index = 0; index  ln; index++){
while (index  len){
for (int index = 0; index = len; ++index){
for (int index = 0; index  l; index++){
for (int index = 0; index  count; index++){
for (int index = null; index  len; index++){
for (int index = 0; index  1; index++){
for (int index=0; indexlen; index++){
for (int index = 0 ; index  len; index++){
for (int i = 0; i  len; ++i){
for (int index = 0; index  size; index++){
for (int index = 0; index  index; index++){
for (int index = 0; index  len; *index++){
for (int i=0; ilen; i++){
for (int index = 0, index  len, index++){
for (int index = 0; index  len; (int)index++){
for (int index = 0; index  s.size(); index++){
for (int index = 0; index  i; index++){
for (int index = 0; index  s.length - 1; index++){
for (int index = 0; index  s.len; index++){
for (int index = 0; index  (u_long)len; index++){
for (int index = 0; index  (long)len; index++){
for (int index == 0; index  len; index++){
for (int count = 0; count  len; count++){
for (int index = 0; index = s.length; index++){
for (int index = 0; index  len; index--; index++){
for (p = 0; p  len; p++){
for (u_long index = 0; index  len; index++){
for (int index = 0; index = (int)len; index++){
for (int index = 0; index  strlen(len); index++){
for (int index = 0; index  slen; index++){
for (char index = 0; index  len; index++){
for (int index = 0; index  len; index++, ++i){
for (unsigned int index = 0; index  len; index++){
for (int index = 0; index  cnt; index++){
for (int len = 0; len  len; len++){
for (int index = 0; index  len, index++){
for (int index = 0; *index  len; ++index){
for (int index = 0; *index  len; index++){
