golden:
private boolean hasExceptionHandler(Node cfgNode) { return false; }
inference:
boolean hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return false;
virtual boolean hasExceptionHandler(Node cfgNode)  return false;
static inline boolean hasExceptionHandler(Node cfgNode)  return false;
bool hasExceptionHandler(Node cfgNode)  return false;
inline boolean hasExceptionHandler(Node cfgNode)  return false;
hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node aNode)  return false;
protected boolean hasExceptionHandler(Node cfgNode)  return false;
public boolean hasExceptionHandler(Node cfgNode)  return false;
private inline boolean hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler (Node cfgNode)  return false;
private boolean hasExceptionHandler()  return false;
boolean hasExceptionHandler(Node cfgNode)  return true;
static int hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler (Node cfgNode)  return false;
static static boolean hasExceptionHandler(Node cfgNode)  return false;
static const boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode) const  return false;
static PRBool hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)  return true;
private boolean hasExceptionHandler(Node cfgNode)  return true;
private Boolean hasExceptionHandler(Node cfgNode)  return false;
private void hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler(Node cfgNode) const  return false;
static boolean hasExceptionHandler (Node cfgNode)  return false;
private static boolean hasExceptionHandler(Node cfgNode)  return false;
PRBool hasExceptionHandler(Node cfgNode)  return false;
virtual inline boolean hasExceptionHandler(Node cfgNode)  return false;
static void hasExceptionHandler(Node cfgNode)  return false;
void hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler()  return false;
static boolean hasExceptionHandler()  return false;
static boolean hasExceptionHandler(Node cfgNode) const  return false;
private boolean hasExceptionHandler( Node cfgNode )  return false;
boolean hasExceptionHandler(Node cfgNode) return false;
private boolean hasExceptionHandler(node cfgNode)  return false;
isExceptionHandler(Node cfgNode)  return false;
virtual int hasExceptionHandler(Node cfgNode)  return false;
static Boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node aCfgNode)  return false;
private bool hasExceptionHandler(Node cfgNode)  return false;
virtual Boolean hasExceptionHandler(Node cfgNode)  return false;
return hasExceptionHandler(Node cfgNode)  return false;
boolean isExceptionHandler(Node cfgNode)  return false;
int hasExceptionHandler(Node cfgNode)  return false;
virtual boolean hasExceptionHandler(Node cfgNode)  return true;
PRUint32 hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)  return false;
static PRUint32 hasExceptionHandler(Node cfgNode)  return false;
static inline boolean hasExceptionHandler(Node cfgNode)  return true;
boolean hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)  return false; ;
Private boolean hasExceptionHandler(Node cfgNode)  return false;
private int hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler( Node cfgNode )  return false;
static boolean hasExceptionHandler(Node cfgNode) return false;
private boolean hasExceptionHandler(Node cfgNode)
public inline boolean hasExceptionHandler(Node cfgNode)  return false;
bool hasExceptionHandler(Node cfgNode)  return true;
static Inline boolean hasExceptionHandler(Node cfgNode)  return false;
bool hasExceptionHandler(Node cfgNode) const  return false;
self.boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node *cfgNode)  return false;
Boolean hasExceptionHandler(Node cfgNode)  return false;
HasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode) return false;
virtual boolean hasExceptionHandler (Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler(Node aNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return true;
inline boolean hasExceptionHandler(Node cfgNode)  return true;
boolean hasExceptionHandler(node cfgNode)  return false;
static inline boolean hasExceptionHandler (Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode )  return false;
bool hasExceptionHandler (Node cfgNode)  return false;
protected inline boolean hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler(node cfgNode)  return false;
boolean hasExceptionHandler(Node cfgNode)  return true;
boolean hasExceptionHandler(Node cfgNode)  return (false);
virtual boolean hasExceptionHandler()  return false;
inline PRBool hasExceptionHandler(Node cfgNode)  return false;
private PRBool hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return true;
private PRUint32 hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(node aNode)  return false;
hasExceptionHandler(Node cfgNode)  return true;
private boolean hasExceptionHandler(Node cfgNode)  return (0);
private boolean hasExceptionHandler(Node aNode)  return true;
static boolean hasExceptionHandler(Node aNode)  return false;
inline void hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(void)  return false;
inline boolean hasExceptionHandler (Node cfgNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)
PRBool hasExceptionHandler(Node cfgNode) const  return false;
static inline boolean hasExceptionHandler()  return false;
static boolean hasExceptionHandler(Node cfgNode)  return true;
boolean hasExceptionHandler(Node cfgNode)
abstract boolean hasExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler(Node cfgNode)  return true;
boolean hasExceptionHandler(Node cfgNode) : return false;
public static boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node &cfgNode)  return false;
private boolean hasExceptionHandler(Node node)  return false;
boolean haveExceptionHandler(Node cfgNode)  return false;
boolean hasExceptionHandler(Node cfgNode)  return (false);
hasExceptionHandler(Node cfgNode) const  return false;
private boolean hasExceptionHandler(Node aNode)  return false;
private Node hasExceptionHandler(Node cfgNode)  return false;
static virtual boolean hasExceptionHandler(Node cfgNode)  return false;
static inline void hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return 0;
static inline Boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return -1;
private boolean hasExceptionHandler()  return false;
private Bool hasExceptionHandler(Node cfgNode)  return false;
virtual static boolean hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler(Node cfgNode)  return true;
static boolean hasExceptionHandler( Node cfgNode )  return false;
getExceptionHandler(Node cfgNode)  return false;
static boolean isExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler()  return true;
Inline boolean hasExceptionHandler(Node cfgNode)  return false;
hasExceptionHandler()  return false;
long hasExceptionHandler(Node cfgNode)  return false;
inline bool hasExceptionHandler(Node cfgNode)  return false;
bool hasExceptionHandler(Node cfgNode) return false;
private Inline boolean hasExceptionHandler(Node cfgNode)  return false;
bool isExceptionHandler(Node cfgNode)  return false;
const boolean hasExceptionHandler(Node cfgNode)  return false;
(void) hasExceptionHandler(Node cfgNode)  return false;
virtual PRBool hasExceptionHandler(Node cfgNode)  return false;
haveExceptionHandler(Node cfgNode)  return false;
public int hasExceptionHandler(Node cfgNode)  return false;
internal boolean hasExceptionHandler(Node cfgNode)  return false;
virtual virtual boolean hasExceptionHandler(Node cfgNode)  return false;
bool boolean hasExceptionHandler(Node cfgNode)  return false;
virtual boolean hasExceptionHandler(Node cfgNode) return false;
virtual PRUint32 hasExceptionHandler(Node cfgNode)  return false;
static boolean hasExceptionHandler( Node cfgNode)  return false;
private boolean hasExceptionHandler(Node* aNode)  return false;
return boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return 1;
virtual void hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node& aNode)  return false;
hasExceptionHandler(Node cfgNode)  return false;
static inline boolean hasExceptionHandler(Node cfgNode) return false;
private boolean hasExceptionHandler(Node cfgNode)  return rv;
bool hasExceptionHandler()  return false;
private boolean hasExceptionHandler(Node cfgNode) const return false;
private boolean hasExceptionHandler(Node cfgNode)  return false; ;
private inline boolean hasExceptionHandler(Node cfgNode)  return true;
protected boolean hasExceptionHandler()  return false;
inline boolean hasExceptionHandler()  return false;
abstract boolean hasExceptionHandler(Node cfgNode);
private boolean hasExceptionHandler() const  return false;
private boolean hasExceptionHandler(Node cfgNode)  return ret;
hasExceptionHandler(Node aNode)  return false;
static boolean hasExceptionHandler(void)  return false;
boolean hasExceptionHandler(Node cfgNode)  return false; ;
virtual boolean hasExceptionHandler(Node cfgNode)  return false; ;
static const boolean hasExceptionHandler(Node cfgNode)  return true;
private void hasExceptionHandler()  return false;
private boolean hasExceptionHandler()
private boolean hasExceptionHandler(Node cfgNode) const  return true;
private boolean hasExceptionHandler()  return false;
static inline boolean hasExceptionHandler(Node cfgNode)
static int hasExceptionHandler()  return false;
boolean hasExceptionHandler() const  return false;
boolean hasExceptionHandler(void)  return false;
HasExceptionHandler()  return false;
boolean hasExceptionHandler(Node cfgNode)  ret = false;
isExceptionHandler()  return false;
static static boolean hasExceptionHandler(Node cfgNode)  return false; ;
static PRBool hasExceptionHandler(Node cfgNode)  return false; ;
inline boolean hasExceptionHandler(Node cfgNode)  return false; ;
static boolean hasExceptionHandler(Node cfgNode)  return true; ;
hasExceptionHandler()
return false;
private boolean hasExceptionHandler(Node cfgNode)  return!hasExceptionHandler;
private boolean hasExceptionHandler(Node cfgNode)  return false;
private boolean hasExceptionHandler(Node cfgNode)  return aCfgNode;
(void) hasExceptionHandler(Node cfgNode) return false;
static boolean hasExceptionHandler(Node cfgNode) return false; ;
private boolean hasExceptionHandler(Node node) return false;
haveExceptionHandler(Node cfgNode) &return false;
abstract boolean hasExceptionHandler(Node cfgNode) <return false;
const boolean hasExceptionHandler(Node cfgNode) return false;
hasExceptionHandler() <return false;
boolean hasExceptionHandler(Node cfgNode) : return false;
static boolean hasExceptionHandler() <return false;
hasExceptionHandler(Node cfgNode) &return false;
virtual virtual boolean hasExceptionHandler(Node cfgNode) &return false;
private boolean hasExceptionHandler(Node cfgNode) &return 0;
boolean hasExceptionHandler(Node cfgNode) &return false; &;
private boolean hasExceptionHandler (Node cfgNode) &return false;
private PRBool hasExceptionHandler(Node cfgNode) return false;
static boolean hasExceptionHandler(Node cfgNode) &return true; ;
self.boolean hasExceptionHandler(Node cfgNode) &return false;
virtual static boolean hasExceptionHandler(Node cfgNode) &return false;
PRBool hasExceptionHandler(Node cfgNode) const <return false;
private boolean hasExceptionHandler(Node cfgNode) const &return true;
static boolean hasExceptionHandler(Node cfgNode) <return true;
static static boolean hasExceptionHandler(Node cfgNode) &return false; &;
inline boolean hasExceptionHandler(Node cfgNode) &return false;
PRUint32 hasExceptionHandler(Node cfgNode) return false;
private boolean hasExceptionHandler(Node aNode) <return false;
bool hasExceptionHandler(Node cfgNode) &return false;
private void hasExceptionHandler() &return false;
private bool hasExceptionHandler(Node cfgNode) return false;
Private boolean hasExceptionHandler(Node cfgNode) return false;
static boolean hasExceptionHandler(Node cfgNode) const return false;
hasExceptionHandler(Node cfgNode) const &return false;
static boolean hasExceptionHandler(Node cfgNode) &return false;
inline boolean hasExceptionHandler(Node cfgNode) return false;
virtual boolean hasExceptionHandler(Node cfgNode) return false; <;
boolean hasExceptionHandler(Node cfgNode) return false; &;
inline boolean hasExceptionHandler(Node cfgNode) &return true;
boolean hasExceptionHandler(Node cfgNode) &return false;
static boolean hasExceptionHandler(Node cfgNode) <return false;
inline boolean hasExceptionHandler(Node cfgNode) return false; ;
static boolean hasExceptionHandler(Node cfgNode) &return true; <;
private boolean hasExceptionHandler(node aNode) <return false;
static boolean hasExceptionHandler(Node cfgNode) <return false; <;
public inline boolean hasExceptionHandler(Node cfgNode) <return false;
virtual PRUint32 hasExceptionHandler(Node cfgNode) return false;
hasExceptionHandler() &return false;
isExceptionHandler(Node cfgNode) return false;
hasExceptionHandler(Node aNode) <return false;
virtual boolean hasExceptionHandler() &return false;
boolean haveExceptionHandler(Node cfgNode) <return false;
inline boolean hasExceptionHandler(Node cfgNode) <return false; &;
getExceptionHandler(Node cfgNode) &return false;
virtual boolean hasExceptionHandler(Node cfgNode) return false;
virtual boolean hasExceptionHandler(Node cfgNode) <return false; <;
hasExceptionHandler(Node aNode) return false;
(void) hasExceptionHandler(Node cfgNode) &return false;
private boolean hasExceptionHandler(Node cfgNode) <return 1;
PRBool hasExceptionHandler(Node cfgNode) const &return false;
static boolean hasExceptionHandler(Node cfgNode) <return false;
boolean hasExceptionHandler(Node cfgNode) <return true;
return boolean hasExceptionHandler(Node cfgNode) <return false;
boolean hasExceptionHandler(Node cfgNode) <return false;
boolean hasExceptionHandler(Node cfgNode) return false;
static boolean hasExceptionHandler(Node cfgNode) return true; <;
static boolean hasExceptionHandler(void) &return false;
static boolean hasExceptionHandler( Node cfgNode ) return false;
Boolean hasExceptionHandler(Node cfgNode) &return false;
boolean hasExceptionHandler( Node cfgNode ) &return false;
private boolean hasExceptionHandler(Node* aNode) return false;
abstract boolean hasExceptionHandler(Node cfgNode) &return false;
static boolean isExceptionHandler(Node cfgNode) return false;
inline bool hasExceptionHandler(Node cfgNode) return false;
static boolean hasExceptionHandler(Node cfgNode) &return false;
boolean hasExceptionHandler(Node cfgNode) const &return false;
boolean hasExceptionHandler(Node cfgNode) &return false;
bool hasExceptionHandler(Node cfgNode) const return false;
hasExceptionHandler(Node cfgNode) return false;
virtual boolean hasExceptionHandler(Node cfgNode) &return true;
bool hasExceptionHandler(Node cfgNode) return false;
virtual PRBool hasExceptionHandler(Node cfgNode) &return false;
inline PRBool hasExceptionHandler(Node cfgNode) return false;
void hasExceptionHandler(Node cfgNode) return false;
static virtual boolean hasExceptionHandler(Node cfgNode) return false;
public inline boolean hasExceptionHandler(Node cfgNode) return false;
bool hasExceptionHandler(Node cfgNode) &return true;
static int hasExceptionHandler() <return false;
private boolean hasExceptionHandler(Node cfgNode ) <return false;
return boolean hasExceptionHandler(Node cfgNode) &return false;
private boolean hasExceptionHandler( Node cfgNode ) &return false;
private boolean hasExceptionHandler(Node cfgNode) return 1;
private boolean hasExceptionHandler() return false;
inline boolean hasExceptionHandler(Node cfgNode) return false; &;
static boolean hasExceptionHandler(Node cfgNode) &return true; &;
static boolean hasExceptionHandler(Node cfgNode) return true; ;
static PRBool hasExceptionHandler(Node cfgNode) return false; ;
virtual Boolean hasExceptionHandler(Node cfgNode) return false;
private static boolean hasExceptionHandler(Node cfgNode) <return false;
virtual boolean hasExceptionHandler(Node cfgNode) &return false;
inline boolean hasExceptionHandler(Node cfgNode) <return false; <;
