golden:
if (y >= TWO_POWER_52 || y <= -TWO_POWER_52) {
inference:
if (y >= TWO_POWER_52){
if (y >= TWO_POWER_52 || y = -TWO_POWER_52){
if (y >= TWO_POWER_52 && y = -TWO_POWER_52){
if (y >= TWO_POWER_52 || y  -TWO_POWER_52){
if (y >= double.TWO_POWER_52 || y = -double.TWO_POWER_52){
if (y >= TWO_POWER_50 || y = -TWO_POWER_50){
if (y >= TWO_POWER_52 || y = -double){
if (y >= 0 || y = -TWO_POWER_52){
if (y >= TWO_POWER_52 || y = TWO_POWER_52){
if (y >= TWO_POWER_52 || y = -THEW_POWER_52){
if (y >= double.TWO_POWER_52 || y = double.TWO_POWER_52){
if (y >= TWO_POWER_56 || y = -TWO_POWER_56){
if (y >= TW_POWER_52 || y = -TW_POWER_52){
if (y >= TWO_POWER_52 || (y = -TWO_POWER_52)){
if (y >= TWO_POWER_52 || y = 0){
if (y >= TWO_POWER_52 || y = -two_power_52){
if (y >= TWO_POWER_55 || y = -TWO_POWER_55){
if (y >= TWO_POWER_52 || y = -WO_POWER_52){
if (y >= -TWO_POWER_52 || y = -TWO_POWER_52){
if (y >= Double.TWO_POWER_52 || y = -double.TWO_POWER_52){
if (y = TWO_POWER_52 || y = -TWO_POWER_52){
if (y >= TWO_POWER_48 || y = -TWO_POWER_48){
if (y >= TWO_POWER_52 || y = -ONE_POWER_52){
if (y >= TWO_POWER_5 || y = -TWO_POWER_5){
if (y >= TWO_POWER_MASK || y = -TWO_POWER_MASK){
if (y >= TWO_POWER_52 || y  TWO_POWER_52){
if ((y >= TWO_POWER_52) || (y = -TWO_POWER_52)){
if (y >= TWO_POWER_SIZE || y = -TWO_POWER_SIZE){
if (y >= TWO_POWER_12 || y = -TWO_POWER_12){
if (y >= TWO_POWER_52 || y = (double) -TWO_POWER_52){
if (y >= TWO_POWER_52 || y = -2){
if ((y >= TWO_POWER_52 || y = -TWO_POWER_52)){
if (y >= TWO_POWER_62 || y = -TWO_POWER_62){
