golden:
/*     0 */    10,   35,    3,    5,    1,    9,    7,   17,   20,   13, /*    10 */    16,   15,    5,   19,    5,   26,    6,   22,    4,    2, /*    20 */    23,    6,    8,   11,   21,   24,   25,   12,   24,   24, /*    30 */    24,   14,   18,
inference:
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,

/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 24,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 6, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 23,
/* 0 */ 10, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 6, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4,
/* 0 */ 9, 35, 23, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 6, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 26,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 23, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15,14 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 5, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 16, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 7, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 21, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 95, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 5, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 21, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 29, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 16, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 14, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 21, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
.* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17,.* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19,.* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4,.* 30 */ 24, 11, 25,
/* 0 */ 9, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 24,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 22, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 4, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 10, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 21,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 22,
/* 0 */ 9, 35, 22, 1, 15,2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 6, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 29,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 23,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 13, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30, 11, 25,
.d = 0;
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 25, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 19, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 20, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
.d = 9, 35, 22, 1, 15, 2, 4, 8, 6, 17,.d = 20, 12, 16, 13, 15, 14, 4, 18, 15, 19,.d = 4, 26, 5, 23, 3, 5, 7, 10, 21, 4,.d = 24, 11, 25,
/* 0 */ 11, 35, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 34, 22, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 23, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 2, 1, 15, 2, 4, 8, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
/* 0 */ 9, 35, 22, 1, 15, 2, 4, 18, 6, 17, /* 10 */ 20, 12, 16, 13, 15, 14, 4, 18, 15, 19, /* 20 */ 4, 26, 5, 23, 3, 5, 7, 10, 21, 4, /* 30 */ 24, 11, 25,
