golden:
/*     0 */    15,   -1,    1,   20,   -1,   18,    4,   21,   -1,   -1, /*    10 */    22,    6,    8,   -1,   10,   25,   -1,   -1,   12,   26, /*    20 */    -1,   -1,   13,
inference:
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,

/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 21,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 18,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 20,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 23,
/* 0*/ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10*/ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20*/ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 22,
/* 0 */ 0, 4, 23, -1, 2, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 23, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 24, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 24,
/* 0 */ 0, 4, 23 -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 21, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 28, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 25, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 27, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 2, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 1, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26,.* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32,.* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 28, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 17,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 24, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 21, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 23, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 22, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 29, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25 -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26 /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19
/* 0 */ 0, 4, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 3, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 26,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 25,
.* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26,.* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32,.* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32,.* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30 -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 29,
/* 0 */ 0, 4, 25, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 26, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 27,
0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 2,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 13,
/* 0 */ 0, 4, 23, -1, 22 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 24, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0,4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
.d = 0, 4, 23, -1, 22, 6, 25, -1, -1, 26,.d = 10, 10, 27, 14, 30, -1, -1, 27, 18, 32,.d = 20,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 29, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 21, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 1,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 28, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 31, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 4, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 16,
.d = 4, 23, -1, 22, 6, 25, -1, -1, 26,.d = 8, 10, 27, 14, 30, -1, -1, 27, 18, 32,.d = 20,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 20, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 19, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1,
/* 0 */ 0, 4, 23, -1, 22, 6, 26, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 0,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ - 1, -1, 19,
.d = 0;
.d = 0, 4, 23, -1, 22, 6, 25, -1, -1, 26,.d = 8, 10, 27, 14, 30, -1, -1, 27, 18, 32,.d = 20,
/* 0 */ 0, 4, 3, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, 2, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 2, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, - 1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 20, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20, -1, -1, 19,
/* 0 */ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -, -1, 19,
/* 0 */ 0, 4, 23, -1, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
/* 0 **/ 0, 4, 23, -1, 22, 6, 25, -1, -1, 26, /* 10 */ 8, 10, 27, 14, 30, -1, -1, 27, 18, 32, /* 20 */ -1, -1, 19,
