golden:
<extra_id_0>
inference:
#ifdef LIBXML_VERSION >= 20623

#if (LIBXML_VERSION >= 20623)
#ifndef LIBXML_VERSION >= 20623
#if 0
if (LIBXML_VERSION >= 20623)
#if!LIBXML_VERSION
#ifdef XP_MAC
#if DEBUG
#if defined(XUL) || defined(XUL)
#if 1
# if LIBXML_VERSION >= 20623
#ifdef DEBUG
#ifdef XUL LIBXML_VERSION >= 20623
#if XML_VERSION >= 20623
#ifdef XUL
#ifdef XML_VERSION >= 20623
#if LIBXML_VERSION >= 207
#if defined(XP_MAC) || defined(XP_OS2)
#endif
# if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) || defined(XP_MAC)
#if defined(XML_VERSION)
#if LIBXML_VERSION >= 20622
#if LIBXML_VERSION >= 20621
#if LIBXML_VERSION >= 20634
#if _LIBXML_VERSION >= 20623
#if LIBXML_VERSION == 20623
#if LIBXML_VERSION >= 20624
#if LIBXML_VERSION >= 20643
#ifdef DIAGNOSTIC
#ifdef XULLIBXML_VERSION >= 20623
#if 0 LIBXML_VERSION >= 20623
#if(LIBXML_VERSION >= 20623)
#if IBXML_VERSION >= 20623
#ifdef IBXML_VERSION >= 20623
#if FIBXML_VERSION >= 20623
#if __LIBXML_VERSION >= 20623
#if LIBXML_VERSION >= 211
#if LBIBXML_VERSION >= 20623
#else if (LIBXML_VERSION >= 20623)
#if defined(LIBXML_VERSION)
#if 0 if LIBXML_VERSION >= 20623
#ifdef LIBXML_VERSION >= 207
#if defined(XML_MAC) || defined(XML_OS2)
#if LIBXML_VERSION >= 205
#if XUL_VERSION >= 20623
#ifdef INET6
#if LIBXML_VERSION >= 20613
#if LIBXML_VERSION >= 204
#else
#if LIBXML_VERSION >= 20626
#if LIBXML_VERSION >= 192
#ifdef INET6 LIBXML_VERSION >= 20623
#elif LIBXML_VERSION >= 20623
#if LIBXML_VERSION >= 208
#if LIBXML_VERSION >= 20629
#if defined(XML_VERSION) || defined(XML_MAC)
#ifLiBXML_VERSION >= 20623
#ifdef XML_VERSION
#if &LIBXML_VERSION >= 20623
#if LIBXML_VERSION >= 210
#if /* LIBXML_VERSION >= 20623 */
#if (LibXML_VERSION >= 20623)
#if defined(XML_WIN) || defined(XML_OS2)
#if XP_MAC
#if LIBXML_VERSION >= 20632
#if LIBXML_VERSION >= 0
#if LIBXML_VERSION >= 20623)
#if LIBXML_VERSION >= 20625
#if LIBXML_VERSION >= (u_long)20623
#if defined(LIBXML_VERSION) || defined(XUL)
#if JS_LIBXML_VERSION >= 20623
#if defined(XP_MAC)
#if LIBXML_VERSION >= 196
#ifdef WIBXML_VERSION >= 20623
#if (LiBXML_VERSION >= 20623)
#if ATTRIBUTE_UNUSED
#if LIBXML_VERSION >= 20663
#if LIBXML_VERSION >= 20623
#if NS_LIBXML_VERSION >= 20623
#if (LIBXML_VERSION == 20623)
#if LIBXML_VERSION >= 202
#endif if (LIBXML_VERSION >= 20623)
#if LIBXML_VERSION = 20623
#ifLIBXML_VERSION >= 207
#if LIBXML_VERSION >= 2048
#ifdef USE_XML
#ifLibXML_VERSION >= 20623
#if LIBXML_VERSION >= 201
#if LIBXML_VERSION >= 20631
#if LIBXML_VERSION >= 20603
#if LIBXML_VERSION >= 20633
#if LIBXML_VERSION >= 20628
#ifdef XUL_VERSION >= 20623
#ifdef LIBXML_VERSION
#ifLIBXML_VERSION >= 20621
#if LIBXML_VERSION >= 20653
if (LIBXML_VERSION == 20623)
#if 0 || LIBXML_VERSION >= 20623
#ifLIBXML_VERSION >= 20622
#if (LIBXML_VERSION >= 20623
#ifdef USE_XML_VERSION
#if LIBXML_VERSION >= 2024
#if LIBXML_VERSION >= 20638
#ifdef NS_LIBXML_VERSION >= 20623
#if LIBXML_VERSION >= (int)20623
#if LIBXML_VERSION >= 20636
#ifLIBXML_VERSION >= 20634
#if LIBXML_VERSION >= MAX_VERSION
#if LIBXML_VERSION >= 20523
#if LIBXML_VERSION >= 20644
#if LIBXML_VERSION >= 20639
#if DIAGNOSTIC
#if LIBXML_VERSION >= 203
#ifdef LBIBXML_VERSION >= 20623
#if 1 || LIBXML_VERSION >= 20623
#if LIBXML_VERSION >= 20723
#if LIBXML_VERSION >= 2
#if 0 && LIBXML_VERSION >= 20623
#if (LIBXML_VERSION > 20623)
#if LIBXML_VERSION >= 20611
#if LIBXML_VERSION >= 2023
#if LIBXML_VERSION >= 20645
#if LIBXML_VERSION >= 2021
#if LIBXML_VERSION >= 20637
#if LIBXML_VERSION >= 20823
#if XUL LIBXML_VERSION >= 20623
#ifLIBXML_VERSION >= 20624
#if LIBXML_VERSION >= 200
#if int LIBXML_VERSION >= 20623
#if 0  LIBXML_VERSION >= 20623
#ifdef WEBXML_VERSION >= 20623
if (LibXML_VERSION >= 20623)
#if LIBXML_VERSION >= 20617
#if LIBXML_VERSION >= (char *)20623
#if LIBXML_VERSION >= 128
#ifLIBXML_VERSION >= 20643
#if WEBXML_VERSION >= 20623
#if LIBXML_VERSION >= 20211
#if LIBXML_VERSION >= 20614
if (LIBXML_VERSION > 20623)
#if defined(XML_VERSION) || defined(XML_WIN)
if (LiBXML_VERSION >= 20623)
#ifLIBXML_VERSION == 20623
if (libxml_version >= 20623)
#ifdef LIBXML_VERSION >= 20622
#if LIBXML_VERSION >= 20665
#if LIBXML_VERSION >= 2000
#if LIBXML_VERSION >= XP_MAC
#if defined(XML_WIN) || defined(XML_WIN)
# ifLIBXML_VERSION >= 20623
#if LIBXML_VERSION >= 20618
#if LIBXML_VERSION >= 20655
#if XP_MAC >= 20623
#if LIBXML_VERSION >= 20635
#ifdef LIBXML_VERSION >= 20723
#if defined(XUL) ||!defined(XUL)
#ifdef LIBXML_VERSION >= 205
#if 1 if (LIBXML_VERSION >= 20623)
#if LIBXML_VERSION >= 20623 */
#if defined(XML) || defined(XML_VERSION)
#if! LIBXML_VERSION
#if defined(XP_MAC) || defined(XP_WIN)
#if defined(XML_VERSION) || defined(XML_OS2)
#if defined(XUL_VERSION)
#ifndef XP_MAC
#if!LIBXML_VERSION  20623
#ifdef LIBXML_VERSION >= 20523
#ifdef LIBXML_VERSION >= 20643
#ifdef LIBXML_VERSION >= 20621
#ifdef USE_XUL
#ifndef XUL
#if /* LIBXML_VERSION >= 20623*/
#ifLIBXML_VERSION
#if defined(XMLElement) || defined(XMLElement)
#if defined(XP_MAC) || defined(XP_UNIX)
#ifdef LIBXML_VERSION >= 20623 */
#if defined(XP_MAC) || defined(XP_MAC OS2)
#if NUM_ARGS()
#ifDEBUG
#if defined(XUL_WIN) || defined(XUL_OS2)
#ifdef NECKO
#if defined(LIBXML) || defined(XML_VERSION)
#if FIXME:
#if defined(XUL)
#if LIBXML_VERSION
#if defined(XML_WIN) || defined(XML_MAC)
#ifdef NUM_ARGS
#ifLIBXML_VERSION >= 20623)
#if defined(XML_VERSION) || defined(XML_PORT)
#if LIBXML_VERSION >= 20623;
#if defined(XML_VERSION) || defined(XML_V3)
#if defined(XP_WIN) || defined(XP_MAC)
#if defined(XP_MAC) ||!defined(XP_MACOSX) && LIBXML_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX)  char* spec; PRUnichar* spec; PRUnichar* spec;
#if 0 if (LIBXML_VERSION >= 20623)
#if defined(XML_VERSION) || defined(XML_LIBXML_VERSION)
#if defined(XP_MAC) || defined(XP_MACOSX) && LIBXML_VERSION >= 20623
#if defined(XML_VERSION) || defined(XML_NEEDGIANT) || defined(XML_NEEDGIANT)
#if defined(XP_MAC) || defined(XP_MACOSX)
#if defined(XML_WIN) ||!defined(XML_MACOSX)
#if defined(XP_MAC) || defined(XP_MACOSX) /* * XXX it's safe to get here because we have no DOM_DOM_STRING! */ if (libxml_version >= 20623)
#if defined(XP_MAC) || defined(XP_MACOSX) || defined(XP_MACOSX)
#if!LIBXML_VERSION_IS_BODY_IS_BODY_ONLY
#if defined(XP_MAC) || defined(XP_MACOSX) if (LIBXML_VERSION >= 20623)
#if!FIBXML_VERSION
#if XP_MAC if (LIBXML_VERSION >= 20623)
#ifdef XUL if (!m_document_save_html)
#if LIBXML_VERSION >= 20623 && xmldoc_props->formatoutput)
#if LIBXML_VERSION >= 20623 || 0x4F
#if LIBXML_VERSION >= 20839
#if JS_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) || defined(XP_MACOSX) || defined(XP_MACOSX)
#if LIBXML_VERSION >= 20623 && id  char_number
#if defined(XML_MAC) || defined(XML_MACOSX) && LIBXML_VERSION >= 20623
#if defined(XML_VERSION) && LIBXML_VERSION >= 20623
#if defined(XML_WIN) || defined(XML_MACOSX) || defined(XML_MACOSX) || defined(XML_OSX)
#if defined(XML_VERSION) || defined(XML_MACOSX) || defined(XML_MACOSX)
#if defined(XML_VERSION) || defined(XML_COMMAND_DEBUG)
#if LIBXML_VERSION >= 20623 /* We should not do it now */
#if defined(XML_VERSION) || defined(XML_IS_COMPLETE)
#if defined(XML_VERSION) || defined(XML_TYPE) || defined(XML_COMPOSE_FLAGS)
#if defined(XP_MAC) ||!defined(XP_MACOSX) || defined(XP_MACOSX)
#if defined(XML_MAC) || defined(XML_OS2) && LIBXML_VERSION >= 20623
#if defined(XML_VERSION) ||!defined(XML_VERSION)
#if defined(XP_MAC) ||!defined(XP_MACOSX) || defined(XP_MACOSX) || defined(XP_MACOSX)
#if defined(XP_MAC) || defined(XP_MACOSX)  struct i18n_doc_props_ptrnsIDOMNode> node; if (dom_document_class_entry == NS_STATIC_CAST(int)node->document);
#if defined(XML_VERSION) ||!defined(XML_MAC) ||!defined(XML_OS2)
#if defined(XP_MAC) || defined(XP_MACOSX)  #if defined(XP_MACOSX) || defined(XP_MACOSX)
#if LIBXML_VERSION >= 20623 ||!cmps
#ifdef DIAGNOSTIC if (LIBXML_VERSION >= 20623)
#if defined(XML_VERSION) ||!defined(XML_ENVIRONMENT)
#if defined(XML_VERSION) &&!defined(XML_VERSION)
#if defined(XP_MAC) || defined(XP_MACOSX)  if (!XP_MACOSX) return; if (LIBXML_VERSION >= 20623)
#if defined(XML_VERSION) || defined(XML_COMMIT) && LIBXML_VERSION >= 20623
#if defined(XP_MAC) || defined(XP_MACOSX) /* XXX */ if (LIBXML_VERSION >= 20623)
#if defined(XP_MAC) ||!defined(XP_MACOSX)
#if defined(XML_VERSION) || defined(XML_CONTENT_CLASS)
#if defined(XML_VERSION) || defined(XML_UNIX)
#if DOC_IS_REFERENCE? LIBXML_VERSION : 0x000000
#if defined(XML_VERSION) || defined(XML_XML_VERSION)
