golden:
_Py_Finalizing = tstate; initialized = 0; flush_std_files();
inference:
#endif

return 0;
return true;
return;
PyType_ClearCache();
*/
return false;
break;
Py_IsInitialized();
return (0);
call_py_exitfuncs();
flush_std_files();
Py_FiniInterrupts();
if (!interp) return;
if (interp == NULL) return;
Py_ClearCache();
PZ_UNLOCK_GIANT();
free(interp);
py_exitfuncs();
initialized = 0;
/* Clear type lookup cache */ PyType_ClearCache();
Py_Initialize();
#ifdef DEBUG
PZ_Destroy();
PZ_UNLOCK(interp);
free_std_files();
splx(s);
tstate->interp = tstate->interp;
return 1;
Py_Shutdown();
if (!initialized) return;
return -1;
tstate = PyThreadState_GET();
PZ_RELEASE(interp);
PZ_UNLOCK();
@endif
Interrupt();
PyInitialize();
PyThreadState *tstate = PyThreadState_GET();
/* Disable signal handling */ PyType_ClearCache();
wait_for_thread_shutdown();
Py_Finalize();
return PR_FALSE;
/*
if (interp->interp == NULL) return;
#else
/* Get current thread state and interpreter pointer */
#if 0
PZ_FiniInterrupts();
Py_Exit();
tstate->interp = interp->interp;
if (initialized) return;
PZ_ClearCache();
Py_Finalize(void)
Init();
#ifdef DIAGNOSTIC
stdout+=stderr;
close_std_files();
#if defined(XP_MAC) || defined(XP_MACOSX)
continue;
if (interp) return;
PyThreadState *tstate;
PZ_Unlock();
if (interp == NULL) break;
free(tstate->interp);
PY_FiniInterrupts();
/* XXX */
PyType_DestroyCache();
/* Disable signal handling */ Py_IsInitialized();
PZ_DestroyThreads();
if (!interp->interp) return;
if (interp!= NULL) return;
return result;
/* Disable signal handling */
exit();
PyThreadState *interp;
PyFiniInterrupts();
if (interp == NULL)  return;
free(interp->interp);
PyThreadState *interp = tstate->interp;
# endif
Py_Destroy();
PY_UNLOCK_GIANT();
Py_FiniInitialize();
Stop();
if (interp->interp) return;
return NULL;
Py_FiniInterrupt();
PZ_UNLOCK_ASSERT();
#else return; #endif
PyThreadState *interp = PyThreadState_GET();
Py_DestroyThreads();
if (interp) break;
PZ_Destroy(interp);
PY_UNLOCK(interp);
int i;
PZ_Free(interp);
PyInterpreterState *interp;
/* * Clear type lookup cache */ PyType_ClearCache();
if (interp == NULL) continue;
if (initialized == 0) return;
if(interp == NULL) return;
else Py_FiniInterrupts();
Py_Finalize(void);
#ifdef NS_DEBUG
#endif /*
PZ_DestroyThreadState();
stdout+stderr;
#endif /* XXX */
PZ_DestroyCache();
stdout += stderr;
if (interp == NULL) return 0;
if (interp->interp!= NULL) return;
else if (interp == NULL) return;
/* Clear type lookup cache */
if (interp->interp) break;
#ifdef XP_MAC
PyInterpreterState *interp = PyThreadState_GET();
return
PY_UNLOCK();
if (interp == 0) return;
if (!interp) break;
Py_DestroyThreadState();
if (interp->interp == NULL) break;
stdout.flush_std_files();
printf("Py_Initialize()n");
Py_FiniInterrupts(interp);
#ifdef __GNUC__
(void) Py_Finalize();
if (interp!= NULL) break;
if (interp->interp == NULL)  return;
if (tstate->interp == NULL) return;
Py_Lock(tstate);
if (!interp) continue;
Py_Initialize(void);
if (interp == NULL)  break;
#if defined(XP_MAC) || defined(XP_OS2)
interp->interp = tstate->interp;
else if (!interp) return;
PZ_FiniInterrupts(interp);
PZ_FiniInterrupt();
if (!interp)  return;
#if defined(XP_MAC) || defined(XP_OS2) #endif
PZ_DestroyThread(interp);
if (interp->initialized) return;
if (interp->interp->interp == NULL) return;
tstate->interp = tstate->interp->interp;
exit funcs may be relying on that.
#ifdef ARGO_DEBUG
/* * Disable signal handling */ PyType_ClearCache();
/* * Get current thread state and interpreter pointer */
if (interp == NULL)  return 0;
if (interp->interp == 0) return;
if (interp->interp->initialized) return;
if (interp->interp == NULL) continue;
/* Clear type lookup cache. */ PyType_ClearCache();
#if defined(XP_MAC) || defined(XP_MACOSX) */
if (interp!= NULL)  return;
else if (interp->interp == NULL) return;
#if defined(XP_MAC) ||!defined(XP_MACOSX)
if (interp->interp!= NULL) break;
if (interp->interp == NULL) return 0;
/* Disable signal handling */ PyType_FiniInterrupts();
if (interp->interp)  return;
if(interp->interp == NULL) return;
#if defined(XP_MAC) || defined(XP_MAC)
printf("Py_Initialize() failedn");
tstate->tstate->interp = tstate->interp;
#if defined(XP_MAC) || defined(XP_MAC) #endif
if (interp->interp == NULL)  break;
tstate->interp->interp = tstate->interp;
/* Flush stdout+stderr */
if (interp->interp!= 0) return;
if (tstate->interp!= NULL) return;
return 0; /* Get current thread state and interpreter pointer */
if (interp->interp!= NULL)  return;
/* Disable signal handling */ PyType_DestroyCache();
tstate->interp->interp = tstate->interp->interp;
tstate->interp = interp->interp->interp;
#if defined(XP_MACOSX) || defined(XP_MACOSX)
if (interp->interp == NULL)  return 0;
#if defined(XP_MAC) && defined(XP_MACOSX)
#ifdef XP_MAC if (!interp) return; #endif
if (interp &&!interp->interp) return;
if (interp->interp->interp->interp == NULL) return;
if (interp->interp->interp->initialized) return;
if (interp->interp->interp!= NULL) return;
/* Clear type lookup cache */ PyType_ClearCache(); */
#if defined(XP_MAC) || defined(XP_OS2); #endif
PyType_ClearCache(); /* Collect garbage. */
return (FAILURE);
/* No module for the interface */ if (Interp.next)  /* In case there is no processor, we are trying to unpy it. */ if (Interp.next)  /* We don't have to stop the process, * we must get the first thread state for that. */ Py_Initialize(void); *interp = tstate->interp;
PY_Destroy();
/* Disable signal handling */ PyType_ClearCache(); /* Remove the * interpreter */ PyType_Shutdown();
/* Disable signal handling */ PyType_ClearCache(); /* Collect garbage. This may call finalizers; it's nice to call these * before all modules are destroyed. * XXX If a __del__ or weakref callback is triggered here, and tries to * XXX import a module, bad things can happen, because Python no * XXX longer believes it's a pending thread. */ /* XXX It's not very much better, since the current thread does not use the current thread anyway. */ if (interp == NULL)  p = Py_FiniInterrupt(); p->p->p_lock = p;  else  p->p_lock = p->p_lock;
if (interp->interp->interp->isdv_arch)  if (interp->interp->isdv_arch)  Py_FreeSession(interp->interp->isdv_arch);  else  Py_FreeSession(interp->interp->isdv_arch);
Py_Unlock(&lock);
/* XXX return 0;
/* * See if we aren't using it */ return 0;
PZ_Wait(&interp);
