golden:
case COND_RESULT_UNSET: return COND_RESULT_UNSET; default: break;
inference:

#endif
return COND_RESULT_FALSE;
break;
if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
config_check_cond_nocache(srv, con, dc->parent);
config_check_cond_cached(srv, con, dc->parent);
case COND_RESULT_FALSE:
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
srv_sock = con->srv_socket;
config_check_cond_cached(srv, con, dc->parent->key);
splx(s);
config_check_cond_nocache(srv, con, dc->context_ndx);
config_check_cond_nocache(srv, con, dc->parent->key);
*/
config_check_cond_cache(srv, con, dc->parent);
return (COND_RESULT_FALSE);
/* pass the rules */
/* make sure prev is checked first */
default: return COND_RESULT_FALSE;
/* check parent first */
config_check_cond_cached(srv, con, dc->context_ndx);
case COND_RESULT_FALSE: break;
default: break;
TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
config_check_cond_nocache(srv, con, dc->parent->context_ndx);
case COND_RESULT_FALSE: return COND_RESULT_FALSE;
#ifdef DEBUG
if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (config_check_cond_cached(srv, con, dc->context_ndx) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
config_check_cond_cache(srv, con, dc->parent->key);
else  config_check_cond_nocache(srv, con, dc->parent);
config_check_cond_cache(srv, con, dc->context_ndx);
return COND_RESULT_TRUE;
srv = con->srv_socket;
if (!con->conf.log_condition_handling)  TRACE("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
if (dc->parent)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
config_check_cond_nocache(srv, con, con->context_ndx);
if (con->conf.log_condition_handling == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
return COND_RESULT_UNSET;
else  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
case COND_RESULT_UNSET:
if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE) return COND_RESULT_FALSE;
config_check_cond_cached(srv, con, dc->prev);
config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE;
/* XXX */
free(srv);
/* one of prev set me to FALSE */
return NULL;
return 0;
config_check_cond_nocache(srv, con, dc->prev);
int i;
log_error_write(srv, __LINE__, "sb", "go parent", dc->parent->key);
if (config_check_cond_cache(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
/*
if (config_check_cond_cache(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
#ifdef DIAGNOSTIC
/* return COND_RESULT_FALSE;
COND_RESULT_FALSE = COND_RESULT_FALSE;
__FILE__ = __LINE__;
else  if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
else  return COND_RESULT_FALSE;
free(dc->context_ndx);
if (con->conf.log_condition_handling) log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (con->conf.log_condition_handling)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling)  config_check_cond_cached(srv, con, dc->parent->key);
config_check_cond_nocache();
*srv_sock = con->srv_socket;
log_error_write(srv, __LINE__, __LINE__, "sb", "go parent", dc->parent->key);
dc->prev = NULL;
if (con->conf.log_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
else  config_check_cond_cached(srv, con, dc->parent);
if (con->conf.log_condition_handling)
if (COND_RESULT_FALSE == con->cond_cache[dc->context_ndx].result)
config_check_cond_cached(srv, con, dc->context_ndx->key);
if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)
case COND_RESULT_FALSE: case COND_RESULT_FALSE:
if (config_check_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE) return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, dc->prev) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
con->conf.log_condition_handling = COND_RESULT_FALSE;
log_error_write(srv, __FILE__, __LINE__, "sb", "go prev", dc->parent->key);
if (srv == NULL) return COND_RESULT_FALSE;
if (config_check_cond_cached(srv, con, con->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
if (con->conf.log_condition_handling == COND_RESULT_FALSE) return COND_RESULT_FALSE;
else
if (con->conf.log_condition_handling) return COND_RESULT_FALSE;
log_error_write(srv, __FILE__, "sb", "go parent", dc->parent->key);
if (con->conf.log_condition_handling)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
if (con->conf.log_cond_cached(srv, con, dc->parent->key) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
/* make sure prev is checked first */ config_check_cond_cached(srv, con, dc->prev);
dc->context_ndx = con->srv_socket;
else if (config_check_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
config_check_cond_free(srv);
config_check_cond_nocache(srv, con, dc->parent, NULL);
config_check_cond_nocache(srv, con);
__LINE__ = "sb", "go parent", dc->parent->key);
case COMP_UNSET:
config_check_cond_nocache(srv, con, con->parent->context_ndx);
return config_check_cond_nocache(srv, con, dc->parent);
case COND_RESULT_FALSE: log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
error("cond[%d] is valid: %d", dc->comp, con->conditional_is_valid[dc->comp]);
config_check_cond_nocache(srv, con, dc->conf);
config_check_cond_cache(srv, con, dc->prev);
config_check_cond_cached(srv, con, con->cond_cache[dc->context_ndx].result);
config_check_cond_nocache_check(srv, con, dc->parent);
(void) config_check_cond_nocache(srv, con, dc->parent);
if (config_check_cond_cond_cached(srv, con, dc->parent) == COND_RESULT_FALSE)  return COND_RESULT_FALSE;
case COMP_COND_UNSET:
log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", con->parent->key);
/* make sure prev is checked first */ config_check_cond_cached(srv, con, dc->parent);
if (con->conf.verbose)  log_error_write(srv, __FILE__, __LINE__, "sb", "go parent", dc->parent->key);
