golden:
for (int c=0; c<r+1; c++)
inference:
for (int c=0; cr; c++)
for (int c=0; c  r; c++)
for (c=0; cr; c++)
for (c = 0; c  r; c++)
for (int c=0; c=r; c++)
for (i=0; ir; i++)
for (int c=0; c=0; c++)
for (int i=0; ir; i++)
for (int c = 0, c  r; c++)
for (i = 0; i  r; i++)
for (c=0; c  r; c++)
for (int c=0; c r; c++)
for (int c=0; cr; ++c)
for (int c=0; c0; c++)
for (int c = 0; c r; c++)
for (int c=0; cn; c++)
for (int c = 0; cr; c++)
for (size_t c=0; cr; c++)
for (c=0; c=r; c++)
for (i = 0; i  c; i++)
for (int c=0; c=1; c++)
for (int c=0; c--; c++)
for (int c=0; cr && c++)
for (int c=1; cr; c++)
for (int c=0; cr, c++)
for (int c=0; c1; c++)
for (int c=0; cc; c++)
for (int c=0; cR; c++)
for (int c=0; cb; c++)
for (;;)
for (int c=0; cm; c++)
for (int c=0; cl; c++)
for ( int c=0; cr; c++ )
for(int c=0; cr; c++)
for (long c=0; cr; c++)
for (int c=0; cr-1; c++)
for (i=0; ic; i++)
for (int c = 0; c  R; c++)
for (int c=0; c&r; c++)
for (int c=0; cs; c++)
for (int c=0; c>r; c++)
for (PRInt32 c=0; cr; c++)
for (int c=0, cr; c++)
for (int c=0; (cr); c++)
for (int r=0; rr; r++)
for (p = 0; p  r; p++)
for (int c=0; cr--; c++)
for (int c=0; ch; c++)
for (int c=0; ci; c++)
for (int c=-1; cr; c++)
for (int c; c  r; c++)
for (int c=0; cr; c--)
for (int c=0; c+r; c++)
for (c=0; cr; c++, c++)
for (n = 0; n  r; n++)
for (int c=0; ca; c++)
for (int c=0; c  n; c++)
for (int c=0; cp; c++)
for (int c =0; c  r; c++)
for (int c=0; c  c; c++)
for (c=0; c = r; c++)
for (int c=0; cr ; c++)
for (c = 0; c r; c++)
for (i = 0; ir; i++)
for (c=0; c=0; c++)
for (int c=0; crb; c++)
for (int c=0; cr + 1; c++)
for (n = 0; n  c; n++)
for (int c=0; (cr; c++))
